"","disorder","sex","age","CIF","CIF_lb","CIF_ub","IR","IR_lb","IR_ub","disorder_group","disorder_full"
"835","CU","M",71.5,2.99,2.97,3.01,0.01,0,0.05,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"836","CU","M",72,2.99,2.97,3.01,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"837","CU","M",72.5,3,2.98,3.01,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"838","CU","M",73,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"839","CU","M",73.5,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"840","CU","M",74,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"841","CU","M",74.5,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"842","CU","M",75,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"843","CU","M",75.5,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"844","CU","M",76,3,2.98,3.02,0.01,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"845","CU","M",76.5,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"846","CU","M",77,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"847","CU","M",77.5,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"848","CU","M",78,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"849","CU","M",78.5,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"850","CU","M",79,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"851","CU","M",79.5,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"852","CU","M",80,3,2.98,3.02,0,0,0.04,"Specific disorder","Mental and behavioral disorders due to cannabis use"
"853","SRD","F",0,0,0,0,0,0,0,"Broad category","Schizophrenia and related disorders"
"854","SRD","F",10,0,0,0,3.6,3.39,3.81,"Broad category","Schizophrenia and related disorders"
"855","SRD","F",10.5,0.01,0,0.01,4.1,3.89,4.33,"Broad category","Schizophrenia and related disorders"
"856","SRD","F",11,0.01,0.01,0.01,4.68,4.45,4.92,"Broad category","Schizophrenia and related disorders"
"857","SRD","F",11.5,0.02,0.02,0.02,5.34,5.1,5.59,"Broad category","Schizophrenia and related disorders"
"858","SRD","F",12,0.03,0.02,0.03,6.09,5.84,6.35,"Broad category","Schizophrenia and related disorders"
"859","SRD","F",12.5,0.04,0.04,0.04,6.95,6.69,7.21,"Broad category","Schizophrenia and related disorders"
"860","SRD","F",13,0.06,0.06,0.06,7.91,7.65,8.19,"Broad category","Schizophrenia and related disorders"
"861","SRD","F",13.5,0.09,0.09,0.09,8.99,8.72,9.27,"Broad category","Schizophrenia and related disorders"
"862","SRD","F",14,0.13,0.13,0.14,10.19,9.91,10.47,"Broad category","Schizophrenia and related disorders"
"863","SRD","F",14.5,0.2,0.2,0.21,11.49,11.21,11.78,"Broad category","Schizophrenia and related disorders"
"864","SRD","F",15,0.28,0.27,0.28,12.88,12.59,13.18,"Broad category","Schizophrenia and related disorders"
"865","SRD","F",15.5,0.36,0.35,0.37,14.35,14.04,14.66,"Broad category","Schizophrenia and related disorders"
"866","SRD","F",16,0.44,0.43,0.45,15.85,15.52,16.19,"Broad category","Schizophrenia and related disorders"
"867","SRD","F",16.5,0.53,0.52,0.53,17.36,16.99,17.73,"Broad category","Schizophrenia and related disorders"
"868","SRD","F",17,0.6,0.59,0.61,18.81,18.41,19.22,"Broad category","Schizophrenia and related disorders"
"869","SRD","F",17.5,0.68,0.67,0.69,20.16,19.72,20.6,"Broad category","Schizophrenia and related disorders"
"870","SRD","F",18,0.77,0.76,0.78,21.33,20.86,21.81,"Broad category","Schizophrenia and related disorders"
"871","SRD","F",18.5,0.88,0.86,0.89,22.27,21.77,22.78,"Broad category","Schizophrenia and related disorders"
"872","SRD","F",19,0.99,0.98,1,22.91,22.39,23.44,"Broad category","Schizophrenia and related disorders"
"873","SRD","F",19.5,1.1,1.08,1.11,23.2,22.67,23.74,"Broad category","Schizophrenia and related disorders"
"874","SRD","F",20,1.2,1.19,1.21,23.09,22.57,23.63,"Broad category","Schizophrenia and related disorders"
"875","SRD","F",20.5,1.3,1.29,1.32,22.58,22.08,23.1,"Broad category","Schizophrenia and related disorders"
"876","SRD","F",21,1.41,1.4,1.42,21.73,21.26,22.22,"Broad category","Schizophrenia and related disorders"
"877","SRD","F",21.5,1.52,1.5,1.53,20.62,20.18,21.06,"Broad category","Schizophrenia and related disorders"
"878","SRD","F",22,1.61,1.6,1.63,19.31,18.91,19.73,"Broad category","Schizophrenia and related disorders"
"879","SRD","F",22.5,1.71,1.69,1.72,17.9,17.52,18.29,"Broad category","Schizophrenia and related disorders"
"880","SRD","F",23,1.79,1.77,1.8,16.45,16.09,16.82,"Broad category","Schizophrenia and related disorders"
"881","SRD","F",23.5,1.86,1.84,1.87,15.01,14.67,15.36,"Broad category","Schizophrenia and related disorders"
"882","SRD","F",24,1.92,1.91,1.94,13.63,13.3,13.97,"Broad category","Schizophrenia and related disorders"
"883","SRD","F",24.5,1.98,1.97,2,12.34,12.02,12.67,"Broad category","Schizophrenia and related disorders"
"884","SRD","F",25,2.05,2.03,2.06,11.16,10.85,11.48,"Broad category","Schizophrenia and related disorders"
"885","SRD","F",25.5,2.11,2.09,2.12,10.1,9.8,10.41,"Broad category","Schizophrenia and related disorders"
"886","SRD","F",26,2.16,2.14,2.17,9.16,8.88,9.46,"Broad category","Schizophrenia and related disorders"
"887","SRD","F",26.5,2.21,2.19,2.23,8.35,8.08,8.63,"Broad category","Schizophrenia and related disorders"
"888","SRD","F",27,2.25,2.23,2.27,7.66,7.4,7.93,"Broad category","Schizophrenia and related disorders"
"889","SRD","F",27.5,2.3,2.28,2.31,7.08,6.84,7.33,"Broad category","Schizophrenia and related disorders"
"890","SRD","F",28,2.34,2.32,2.36,6.62,6.39,6.85,"Broad category","Schizophrenia and related disorders"
"891","SRD","F",28.5,2.38,2.36,2.4,6.25,6.04,6.47,"Broad category","Schizophrenia and related disorders"
"892","SRD","F",29,2.42,2.4,2.44,5.97,5.77,6.18,"Broad category","Schizophrenia and related disorders"
"893","SRD","F",29.5,2.46,2.44,2.48,5.76,5.57,5.96,"Broad category","Schizophrenia and related disorders"
"894","SRD","F",30,2.5,2.48,2.51,5.61,5.43,5.8,"Broad category","Schizophrenia and related disorders"
"895","SRD","F",30.5,2.53,2.51,2.55,5.5,5.33,5.69,"Broad category","Schizophrenia and related disorders"
"896","SRD","F",31,2.56,2.54,2.58,5.44,5.26,5.62,"Broad category","Schizophrenia and related disorders"
"897","SRD","F",31.5,2.59,2.57,2.61,5.4,5.22,5.58,"Broad category","Schizophrenia and related disorders"
"898","SRD","F",32,2.62,2.6,2.64,5.39,5.21,5.57,"Broad category","Schizophrenia and related disorders"
"899","SRD","F",32.5,2.65,2.63,2.67,5.39,5.21,5.59,"Broad category","Schizophrenia and related disorders"
"900","SRD","F",33,2.68,2.66,2.7,5.42,5.22,5.62,"Broad category","Schizophrenia and related disorders"
"901","SRD","F",33.5,2.71,2.69,2.72,5.44,5.24,5.66,"Broad category","Schizophrenia and related disorders"
"902","SRD","F",34,2.73,2.71,2.75,5.48,5.26,5.7,"Broad category","Schizophrenia and related disorders"
"903","SRD","F",34.5,2.75,2.73,2.77,5.5,5.28,5.74,"Broad category","Schizophrenia and related disorders"
"904","SRD","F",35,2.78,2.76,2.8,5.52,5.29,5.76,"Broad category","Schizophrenia and related disorders"
"905","SRD","F",35.5,2.81,2.79,2.83,5.53,5.3,5.77,"Broad category","Schizophrenia and related disorders"
"906","SRD","F",36,2.83,2.81,2.85,5.51,5.28,5.75,"Broad category","Schizophrenia and related disorders"
"907","SRD","F",36.5,2.85,2.83,2.87,5.47,5.24,5.7,"Broad category","Schizophrenia and related disorders"
"908","SRD","F",37,2.88,2.86,2.9,5.4,5.18,5.63,"Broad category","Schizophrenia and related disorders"
"909","SRD","F",37.5,2.9,2.88,2.92,5.32,5.11,5.53,"Broad category","Schizophrenia and related disorders"
"910","SRD","F",38,2.92,2.9,2.94,5.22,5.02,5.42,"Broad category","Schizophrenia and related disorders"
"911","SRD","F",38.5,2.94,2.92,2.96,5.1,4.92,5.29,"Broad category","Schizophrenia and related disorders"
"912","SRD","F",39,2.97,2.95,2.99,4.98,4.81,5.16,"Broad category","Schizophrenia and related disorders"
"913","SRD","F",39.5,2.99,2.97,3.01,4.86,4.69,5.03,"Broad category","Schizophrenia and related disorders"
"914","SRD","F",40,3.01,2.99,3.03,4.73,4.57,4.9,"Broad category","Schizophrenia and related disorders"
"915","SRD","F",40.5,3.03,3.01,3.05,4.6,4.44,4.77,"Broad category","Schizophrenia and related disorders"
"916","SRD","F",41,3.05,3.03,3.07,4.48,4.32,4.65,"Broad category","Schizophrenia and related disorders"
"917","SRD","F",41.5,3.07,3.05,3.09,4.37,4.2,4.54,"Broad category","Schizophrenia and related disorders"
"918","SRD","F",42,3.09,3.07,3.11,4.26,4.09,4.43,"Broad category","Schizophrenia and related disorders"
"919","SRD","F",42.5,3.11,3.09,3.13,4.16,3.98,4.34,"Broad category","Schizophrenia and related disorders"
"920","SRD","F",43,3.13,3.11,3.15,4.07,3.9,4.25,"Broad category","Schizophrenia and related disorders"
"921","SRD","F",43.5,3.14,3.12,3.17,4,3.82,4.18,"Broad category","Schizophrenia and related disorders"
"922","SRD","F",44,3.16,3.14,3.18,3.94,3.76,4.12,"Broad category","Schizophrenia and related disorders"
"923","SRD","F",44.5,3.19,3.16,3.21,3.89,3.72,4.07,"Broad category","Schizophrenia and related disorders"
"924","SRD","F",45,3.2,3.18,3.23,3.86,3.69,4.04,"Broad category","Schizophrenia and related disorders"
"925","SRD","F",45.5,3.22,3.2,3.24,3.84,3.68,4.01,"Broad category","Schizophrenia and related disorders"
"926","SRD","F",46,3.24,3.22,3.26,3.83,3.68,4,"Broad category","Schizophrenia and related disorders"
"927","SRD","F",46.5,3.26,3.24,3.28,3.83,3.68,3.99,"Broad category","Schizophrenia and related disorders"
"928","SRD","F",47,3.28,3.26,3.3,3.83,3.69,3.98,"Broad category","Schizophrenia and related disorders"
"929","SRD","F",47.5,3.3,3.28,3.32,3.84,3.7,3.98,"Broad category","Schizophrenia and related disorders"
"930","SRD","F",48,3.32,3.3,3.34,3.84,3.7,3.99,"Broad category","Schizophrenia and related disorders"
"931","SRD","F",48.5,3.34,3.32,3.36,3.85,3.71,4,"Broad category","Schizophrenia and related disorders"
"932","SRD","F",49,3.35,3.33,3.37,3.85,3.71,4,"Broad category","Schizophrenia and related disorders"
"933","SRD","F",49.5,3.37,3.35,3.39,3.85,3.7,4.01,"Broad category","Schizophrenia and related disorders"
"934","SRD","F",50,3.39,3.36,3.41,3.84,3.69,4.01,"Broad category","Schizophrenia and related disorders"
"935","SRD","F",50.5,3.4,3.38,3.43,3.83,3.66,4,"Broad category","Schizophrenia and related disorders"
"936","SRD","F",51,3.42,3.4,3.44,3.8,3.63,3.97,"Broad category","Schizophrenia and related disorders"
"937","SRD","F",51.5,3.44,3.42,3.46,3.76,3.59,3.94,"Broad category","Schizophrenia and related disorders"
"938","SRD","F",52,3.46,3.43,3.48,3.71,3.54,3.89,"Broad category","Schizophrenia and related disorders"
"939","SRD","F",52.5,3.47,3.45,3.49,3.64,3.47,3.82,"Broad category","Schizophrenia and related disorders"
"940","SRD","F",53,3.49,3.47,3.51,3.56,3.4,3.73,"Broad category","Schizophrenia and related disorders"
"941","SRD","F",53.5,3.5,3.48,3.52,3.47,3.32,3.64,"Broad category","Schizophrenia and related disorders"
"942","SRD","F",54,3.52,3.5,3.54,3.38,3.23,3.53,"Broad category","Schizophrenia and related disorders"
"943","SRD","F",54.5,3.53,3.51,3.56,3.28,3.14,3.43,"Broad category","Schizophrenia and related disorders"
"944","SRD","F",55,3.55,3.53,3.57,3.18,3.05,3.32,"Broad category","Schizophrenia and related disorders"
"945","SRD","F",55.5,3.56,3.54,3.58,3.08,2.95,3.21,"Broad category","Schizophrenia and related disorders"
"946","SRD","F",56,3.58,3.56,3.6,2.98,2.86,3.1,"Broad category","Schizophrenia and related disorders"
"947","SRD","F",56.5,3.59,3.57,3.61,2.88,2.77,3,"Broad category","Schizophrenia and related disorders"
"948","SRD","F",57,3.61,3.58,3.63,2.79,2.68,2.91,"Broad category","Schizophrenia and related disorders"
"949","SRD","F",57.5,3.62,3.6,3.64,2.71,2.6,2.82,"Broad category","Schizophrenia and related disorders"
"950","SRD","F",58,3.63,3.61,3.65,2.63,2.52,2.75,"Broad category","Schizophrenia and related disorders"
"951","SRD","F",58.5,3.64,3.62,3.66,2.56,2.45,2.68,"Broad category","Schizophrenia and related disorders"
"952","SRD","F",59,3.66,3.63,3.68,2.5,2.39,2.62,"Broad category","Schizophrenia and related disorders"
"953","SRD","F",59.5,3.67,3.65,3.69,2.45,2.34,2.57,"Broad category","Schizophrenia and related disorders"
"954","SRD","F",60,3.68,3.66,3.7,2.41,2.3,2.53,"Broad category","Schizophrenia and related disorders"
"955","SRD","F",60.5,3.69,3.67,3.72,2.38,2.27,2.51,"Broad category","Schizophrenia and related disorders"
"956","SRD","F",61,3.7,3.68,3.73,2.37,2.25,2.49,"Broad category","Schizophrenia and related disorders"
"957","SRD","F",61.5,3.71,3.69,3.73,2.36,2.24,2.48,"Broad category","Schizophrenia and related disorders"
"958","SRD","F",62,3.72,3.7,3.74,2.36,2.24,2.48,"Broad category","Schizophrenia and related disorders"
"959","SRD","F",62.5,3.73,3.71,3.75,2.37,2.25,2.49,"Broad category","Schizophrenia and related disorders"
"960","SRD","F",63,3.74,3.72,3.76,2.38,2.27,2.5,"Broad category","Schizophrenia and related disorders"
"961","SRD","F",63.5,3.75,3.73,3.77,2.41,2.3,2.52,"Broad category","Schizophrenia and related disorders"
"962","SRD","F",64,3.76,3.74,3.79,2.43,2.33,2.55,"Broad category","Schizophrenia and related disorders"
"963","SRD","F",64.5,3.77,3.75,3.8,2.47,2.36,2.58,"Broad category","Schizophrenia and related disorders"
"964","SRD","F",65,3.79,3.76,3.81,2.51,2.41,2.62,"Broad category","Schizophrenia and related disorders"
"965","SRD","F",65.5,3.8,3.77,3.82,2.56,2.45,2.66,"Broad category","Schizophrenia and related disorders"
"966","SRD","F",66,3.81,3.78,3.83,2.61,2.5,2.71,"Broad category","Schizophrenia and related disorders"
"967","SRD","F",66.5,3.82,3.79,3.84,2.66,2.56,2.77,"Broad category","Schizophrenia and related disorders"
"968","SRD","F",67,3.83,3.8,3.85,2.72,2.61,2.83,"Broad category","Schizophrenia and related disorders"
"969","SRD","F",67.5,3.84,3.81,3.86,2.78,2.67,2.89,"Broad category","Schizophrenia and related disorders"
"970","SRD","F",68,3.85,3.82,3.87,2.84,2.72,2.96,"Broad category","Schizophrenia and related disorders"
"971","SRD","F",68.5,3.86,3.83,3.88,2.91,2.78,3.04,"Broad category","Schizophrenia and related disorders"
"972","SRD","F",69,3.86,3.84,3.89,2.97,2.83,3.12,"Broad category","Schizophrenia and related disorders"
"973","SRD","F",69.5,3.87,3.85,3.9,3.04,2.89,3.2,"Broad category","Schizophrenia and related disorders"
"974","SRD","F",70,3.88,3.86,3.9,3.11,2.94,3.28,"Broad category","Schizophrenia and related disorders"
"975","SRD","F",70.5,3.89,3.87,3.91,3.18,3,3.37,"Broad category","Schizophrenia and related disorders"
"976","SRD","F",71,3.9,3.87,3.92,3.25,3.06,3.45,"Broad category","Schizophrenia and related disorders"
"977","SRD","F",71.5,3.91,3.89,3.93,3.32,3.11,3.55,"Broad category","Schizophrenia and related disorders"
"978","SRD","F",72,3.92,3.9,3.94,3.4,3.17,3.64,"Broad category","Schizophrenia and related disorders"
"979","SRD","F",72.5,3.93,3.9,3.95,3.47,3.23,3.74,"Broad category","Schizophrenia and related disorders"
"980","SRD","F",73,3.94,3.91,3.96,3.55,3.28,3.84,"Broad category","Schizophrenia and related disorders"
"981","SRD","F",73.5,3.95,3.92,3.97,3.63,3.34,3.95,"Broad category","Schizophrenia and related disorders"
"982","SRD","F",74,3.96,3.93,3.98,3.72,3.4,4.06,"Broad category","Schizophrenia and related disorders"
"983","SRD","F",74.5,3.97,3.94,3.99,3.8,3.46,4.17,"Broad category","Schizophrenia and related disorders"
"984","SRD","F",75,3.98,3.95,4,3.89,3.53,4.28,"Broad category","Schizophrenia and related disorders"
"985","SRD","F",75.5,3.99,3.96,4.01,3.97,3.59,4.4,"Broad category","Schizophrenia and related disorders"
"986","SRD","F",76,3.99,3.97,4.02,4.06,3.65,4.52,"Broad category","Schizophrenia and related disorders"
"987","SRD","F",76.5,4.01,3.98,4.03,4.16,3.71,4.65,"Broad category","Schizophrenia and related disorders"
"988","SRD","F",77,4.02,4,4.04,4.25,3.78,4.78,"Broad category","Schizophrenia and related disorders"
"989","SRD","F",77.5,4.03,4.01,4.05,4.35,3.85,4.91,"Broad category","Schizophrenia and related disorders"
"990","SRD","F",78,4.04,4.02,4.06,4.44,3.91,5.05,"Broad category","Schizophrenia and related disorders"
"991","SRD","F",78.5,4.05,4.03,4.07,4.54,3.98,5.19,"Broad category","Schizophrenia and related disorders"
"992","SRD","F",79,4.07,4.04,4.09,4.65,4.05,5.33,"Broad category","Schizophrenia and related disorders"
"993","SRD","F",79.5,4.08,4.05,4.1,4.75,4.12,5.48,"Broad category","Schizophrenia and related disorders"
"994","SRD","F",80,4.09,4.06,4.11,4.86,4.19,5.63,"Broad category","Schizophrenia and related disorders"
"995","SRD","M",0,0,0,0,0,0,0,"Broad category","Schizophrenia and related disorders"
"996","SRD","M",10,0,0,0,2.03,1.89,2.17,"Broad category","Schizophrenia and related disorders"
"997","SRD","M",10.5,0.01,0.01,0.01,2.37,2.22,2.52,"Broad category","Schizophrenia and related disorders"
"998","SRD","M",11,0.02,0.02,0.02,2.76,2.6,2.93,"Broad category","Schizophrenia and related disorders"
"999","SRD","M",11.5,0.03,0.03,0.03,3.22,3.05,3.4,"Broad category","Schizophrenia and related disorders"
"1000","SRD","M",12,0.04,0.04,0.04,3.76,3.58,3.95,"Broad category","Schizophrenia and related disorders"
"1001","SRD","M",12.5,0.05,0.05,0.06,4.39,4.19,4.59,"Broad category","Schizophrenia and related disorders"
"1002","SRD","M",13,0.07,0.06,0.07,5.11,4.9,5.33,"Broad category","Schizophrenia and related disorders"
"1003","SRD","M",13.5,0.08,0.08,0.08,5.95,5.73,6.17,"Broad category","Schizophrenia and related disorders"
"1004","SRD","M",14,0.1,0.1,0.11,6.9,6.67,7.13,"Broad category","Schizophrenia and related disorders"
"1005","SRD","M",14.5,0.13,0.12,0.13,7.97,7.73,8.21,"Broad category","Schizophrenia and related disorders"
"1006","SRD","M",15,0.16,0.15,0.16,9.16,8.91,9.42,"Broad category","Schizophrenia and related disorders"
"1007","SRD","M",15.5,0.2,0.2,0.21,10.47,10.21,10.74,"Broad category","Schizophrenia and related disorders"
"1008","SRD","M",16,0.25,0.25,0.26,11.89,11.61,12.17,"Broad category","Schizophrenia and related disorders"
"1009","SRD","M",16.5,0.31,0.3,0.31,13.39,13.1,13.7,"Broad category","Schizophrenia and related disorders"
"1010","SRD","M",17,0.37,0.36,0.37,14.96,14.64,15.29,"Broad category","Schizophrenia and related disorders"
"1011","SRD","M",17.5,0.43,0.42,0.43,16.55,16.2,16.9,"Broad category","Schizophrenia and related disorders"
"1012","SRD","M",18,0.51,0.5,0.52,18.11,17.73,18.5,"Broad category","Schizophrenia and related disorders"
"1013","SRD","M",18.5,0.59,0.58,0.6,19.59,19.17,20.02,"Broad category","Schizophrenia and related disorders"
"1014","SRD","M",19,0.68,0.67,0.69,20.93,20.48,21.38,"Broad category","Schizophrenia and related disorders"
"1015","SRD","M",19.5,0.79,0.77,0.8,22.06,21.59,22.54,"Broad category","Schizophrenia and related disorders"
"1016","SRD","M",20,0.89,0.88,0.9,22.91,22.43,23.41,"Broad category","Schizophrenia and related disorders"
"1017","SRD","M",20.5,1,0.99,1.01,23.44,22.96,23.94,"Broad category","Schizophrenia and related disorders"
"1018","SRD","M",21,1.12,1.11,1.13,23.65,23.17,24.14,"Broad category","Schizophrenia and related disorders"
"1019","SRD","M",21.5,1.24,1.23,1.25,23.55,23.09,24.02,"Broad category","Schizophrenia and related disorders"
"1020","SRD","M",22,1.35,1.33,1.36,23.19,22.74,23.64,"Broad category","Schizophrenia and related disorders"
"1021","SRD","M",22.5,1.46,1.45,1.47,22.59,22.17,23.02,"Broad category","Schizophrenia and related disorders"
"1022","SRD","M",23,1.57,1.55,1.58,21.81,21.4,22.23,"Broad category","Schizophrenia and related disorders"
"1023","SRD","M",23.5,1.67,1.65,1.68,20.9,20.5,21.31,"Broad category","Schizophrenia and related disorders"
"1024","SRD","M",24,1.77,1.75,1.78,19.9,19.5,20.31,"Broad category","Schizophrenia and related disorders"
"1025","SRD","M",24.5,1.86,1.85,1.88,18.85,18.45,19.26,"Broad category","Schizophrenia and related disorders"
"1026","SRD","M",25,1.95,1.94,1.97,17.79,17.39,18.19,"Broad category","Schizophrenia and related disorders"
"1027","SRD","M",25.5,2.05,2.03,2.06,16.74,16.34,17.15,"Broad category","Schizophrenia and related disorders"
"1028","SRD","M",26,2.13,2.11,2.15,15.74,15.34,16.14,"Broad category","Schizophrenia and related disorders"
"1029","SRD","M",26.5,2.21,2.19,2.23,14.8,14.41,15.19,"Broad category","Schizophrenia and related disorders"
"1030","SRD","M",27,2.29,2.27,2.3,13.93,13.55,14.31,"Broad category","Schizophrenia and related disorders"
"1031","SRD","M",27.5,2.37,2.35,2.38,13.15,12.78,13.52,"Broad category","Schizophrenia and related disorders"
"1032","SRD","M",28,2.43,2.41,2.45,12.46,12.11,12.81,"Broad category","Schizophrenia and related disorders"
"1033","SRD","M",28.5,2.49,2.48,2.51,11.86,11.54,12.2,"Broad category","Schizophrenia and related disorders"
"1034","SRD","M",29,2.55,2.54,2.57,11.35,11.05,11.67,"Broad category","Schizophrenia and related disorders"
"1035","SRD","M",29.5,2.61,2.59,2.63,10.91,10.62,11.21,"Broad category","Schizophrenia and related disorders"
"1036","SRD","M",30,2.67,2.65,2.69,10.53,10.26,10.8,"Broad category","Schizophrenia and related disorders"
"1037","SRD","M",30.5,2.73,2.71,2.75,10.19,9.94,10.46,"Broad category","Schizophrenia and related disorders"
"1038","SRD","M",31,2.78,2.76,2.8,9.9,9.65,10.15,"Broad category","Schizophrenia and related disorders"
"1039","SRD","M",31.5,2.83,2.81,2.85,9.64,9.39,9.89,"Broad category","Schizophrenia and related disorders"
"1040","SRD","M",32,2.88,2.87,2.9,9.41,9.16,9.65,"Broad category","Schizophrenia and related disorders"
"1041","SRD","M",32.5,2.94,2.92,2.96,9.19,8.95,9.45,"Broad category","Schizophrenia and related disorders"
"1042","SRD","M",33,2.98,2.96,3,9,8.75,9.26,"Broad category","Schizophrenia and related disorders"
"1043","SRD","M",33.5,3.03,3.01,3.05,8.81,8.56,9.08,"Broad category","Schizophrenia and related disorders"
"1044","SRD","M",34,3.07,3.05,3.09,8.64,8.37,8.91,"Broad category","Schizophrenia and related disorders"
"1045","SRD","M",34.5,3.11,3.09,3.13,8.46,8.2,8.74,"Broad category","Schizophrenia and related disorders"
"1046","SRD","M",35,3.15,3.13,3.17,8.29,8.02,8.57,"Broad category","Schizophrenia and related disorders"
"1047","SRD","M",35.5,3.19,3.17,3.21,8.11,7.84,8.39,"Broad category","Schizophrenia and related disorders"
"1048","SRD","M",36,3.23,3.21,3.25,7.93,7.67,8.2,"Broad category","Schizophrenia and related disorders"
"1049","SRD","M",36.5,3.26,3.24,3.28,7.74,7.48,8,"Broad category","Schizophrenia and related disorders"
"1050","SRD","M",37,3.3,3.28,3.32,7.54,7.3,7.79,"Broad category","Schizophrenia and related disorders"
"1051","SRD","M",37.5,3.33,3.31,3.35,7.33,7.1,7.57,"Broad category","Schizophrenia and related disorders"
"1052","SRD","M",38,3.36,3.34,3.39,7.12,6.91,7.35,"Broad category","Schizophrenia and related disorders"
"1053","SRD","M",38.5,3.4,3.38,3.42,6.92,6.71,7.13,"Broad category","Schizophrenia and related disorders"
"1054","SRD","M",39,3.43,3.41,3.45,6.71,6.52,6.91,"Broad category","Schizophrenia and related disorders"
"1055","SRD","M",39.5,3.46,3.44,3.48,6.51,6.32,6.71,"Broad category","Schizophrenia and related disorders"
"1056","SRD","M",40,3.49,3.47,3.51,6.31,6.13,6.51,"Broad category","Schizophrenia and related disorders"
"1057","SRD","M",40.5,3.51,3.49,3.54,6.12,5.93,6.32,"Broad category","Schizophrenia and related disorders"
"1058","SRD","M",41,3.54,3.52,3.57,5.94,5.75,6.14,"Broad category","Schizophrenia and related disorders"
"1059","SRD","M",41.5,3.57,3.55,3.59,5.76,5.57,5.97,"Broad category","Schizophrenia and related disorders"
"1060","SRD","M",42,3.6,3.58,3.62,5.6,5.4,5.81,"Broad category","Schizophrenia and related disorders"
"1061","SRD","M",42.5,3.63,3.61,3.65,5.44,5.24,5.65,"Broad category","Schizophrenia and related disorders"
"1062","SRD","M",43,3.65,3.63,3.67,5.3,5.09,5.51,"Broad category","Schizophrenia and related disorders"
"1063","SRD","M",43.5,3.68,3.65,3.7,5.16,4.96,5.37,"Broad category","Schizophrenia and related disorders"
"1064","SRD","M",44,3.7,3.68,3.72,5.04,4.84,5.25,"Broad category","Schizophrenia and related disorders"
"1065","SRD","M",44.5,3.73,3.7,3.75,4.93,4.74,5.13,"Broad category","Schizophrenia and related disorders"
"1066","SRD","M",45,3.75,3.73,3.78,4.83,4.64,5.02,"Broad category","Schizophrenia and related disorders"
"1067","SRD","M",45.5,3.77,3.75,3.79,4.74,4.56,4.92,"Broad category","Schizophrenia and related disorders"
"1068","SRD","M",46,3.8,3.77,3.82,4.65,4.48,4.83,"Broad category","Schizophrenia and related disorders"
"1069","SRD","M",46.5,3.81,3.79,3.84,4.57,4.41,4.74,"Broad category","Schizophrenia and related disorders"
"1070","SRD","M",47,3.84,3.81,3.86,4.49,4.34,4.65,"Broad category","Schizophrenia and related disorders"
"1071","SRD","M",47.5,3.86,3.83,3.88,4.41,4.26,4.57,"Broad category","Schizophrenia and related disorders"
"1072","SRD","M",48,3.88,3.86,3.9,4.34,4.19,4.49,"Broad category","Schizophrenia and related disorders"
"1073","SRD","M",48.5,3.9,3.88,3.92,4.26,4.11,4.41,"Broad category","Schizophrenia and related disorders"
"1074","SRD","M",49,3.92,3.9,3.94,4.18,4.03,4.33,"Broad category","Schizophrenia and related disorders"
"1075","SRD","M",49.5,3.94,3.92,3.96,4.09,3.94,4.25,"Broad category","Schizophrenia and related disorders"
"1076","SRD","M",50,3.96,3.94,3.98,4,3.85,4.17,"Broad category","Schizophrenia and related disorders"
"1077","SRD","M",50.5,3.98,3.95,4,3.91,3.75,4.08,"Broad category","Schizophrenia and related disorders"
"1078","SRD","M",51,3.99,3.97,4.02,3.81,3.65,3.98,"Broad category","Schizophrenia and related disorders"
"1079","SRD","M",51.5,4.01,3.99,4.04,3.7,3.54,3.87,"Broad category","Schizophrenia and related disorders"
"1080","SRD","M",52,4.03,4.01,4.05,3.59,3.43,3.75,"Broad category","Schizophrenia and related disorders"
"1081","SRD","M",52.5,4.05,4.02,4.07,3.47,3.31,3.63,"Broad category","Schizophrenia and related disorders"
"1082","SRD","M",53,4.06,4.04,4.09,3.34,3.19,3.49,"Broad category","Schizophrenia and related disorders"
